objID,objID_src,rot,x_lens,y_lens,q,PA,r_Einstein,z_source,z_lens,velDisp,x_source,y_source,boost,shear,shear_PA
1,1090,0,0.03812721,-0.08393822,0.83287334,1.09937745,2.45412818,3.127611,0.73078585,378.07416,-0.27947729,-0.47760191,-1.0,0.02243142,0.91177935
2,426,0,-0.0827912,-0.10986988,0.74264443,1.85276747,2.46824151,5.798559,0.4415851,329.32822,-0.07463625,-0.38042695,-3.0,0.05998277,0.9583811
3,2136,0,-0.05464358,-0.00836437,0.84578482,2.93682612,2.47532231,4.785457,0.45482597,333.96304,-0.13318284,-0.27723034,-3.0,0.03888988,1.13486945
4,7141,0,-0.03088462,-0.07050141,0.8579191,2.48365467,2.45665106,4.792636,0.8196448,369.14502,-0.13308983,-0.03422891,-4.0,0.00517285,2.65749922
5,7215,0,-0.03854088,0.00139142,0.89926778,0.38230105,2.49779976,4.860585,0.7036093,359.74615,-0.31841751,-0.02756352,-4.0,0.04348999,1.11280384
7,138,0,-0.00170487,0.0498322,0.76381616,2.73792084,2.47325869,3.330044,0.7791211,382.66064,0.14496175,-0.14962763,-3.0,0.00833208,0.45870308
8,6453,0,0.00378877,0.03809788,0.72292644,0.34793713,2.45037976,5.696721,0.65121084,347.14206,0.04594443,0.25236807,-2.0,0.09913601,0.2019206
9,6917,0,0.09499265,0.01044015,0.8780936,0.78928549,2.45190114,5.381076,0.37518433,323.3492,0.43186685,0.44499031,-4.0,0.01698954,1.17722481
10,237,1,-0.03524466,-0.05231409,0.76337745,0.40322546,2.45990549,4.823507,0.8196448,369.14502,-0.08160154,-0.07451066,-4.0,0.06406055,0.67966215
12,1225,0,-0.01965151,0.01306132,0.93249906,1.63703209,2.47573359,1.425948,0.5050952,396.6502,0.01404435,0.05293816,-3.0,0.00842735,1.98925251
13,2136,0,0.00698928,0.04818643,0.92976503,1.18736686,2.45324163,4.785457,0.39198023,326.50937,-0.21931188,-0.07192473,-4.0,0.01122938,0.02062382
15,6453,0,-0.00846954,-0.0036082,0.92959422,2.22227981,2.49928613,5.696721,0.6798698,353.23486,-0.07653448,0.1103978,-2.0,0.01173761,2.96412143
16,2365,0,0.02359341,-0.06630486,0.84476575,2.31039368,2.47741214,3.597491,0.53404,348.95407,0.13283938,-0.05947499,-5.0,0.01662924,0.31187485
17,7389,0,0.05881598,0.03011005,0.62934032,2.3760461,2.45640236,5.737934,0.3657437,322.08365,-0.53572133,-0.47725602,-1.0,0.03268857,0.42985817
18,1406,0,0.02425814,0.008359,0.88750606,1.09571216,2.4679784,0.938316,0.40066656,412.0006,-0.01218349,-0.03875169,-3.0,0.03431324,1.0409951
20,2755,0,-0.01197809,-0.03978395,0.87793433,2.04704235,2.48779222,4.49744,0.6761664,358.58844,0.03744704,-0.02975719,-5.0,0.04913138,2.55953073
21,99,0,0.01303611,-0.10566125,0.92922763,2.04986948,2.46891039,2.543969,0.5126132,357.9879,-0.00749937,0.20790811,-3.0,0.02854866,0.54359348
22,1482,0,0.00456024,0.05456414,0.78368379,1.20225017,2.47411793,2.949544,0.60835546,365.5,0.12286346,0.02907556,-5.0,0.04591961,0.39688022
23,6672,0,0.02663166,0.07432994,0.97835303,3.05876877,2.48882475,3.710618,0.4914632,344.04062,0.03903956,0.3402773,-4.0,0.1,1.51757897
24,1478,0,0.05276206,0.01131558,0.83755994,2.28016787,2.46525489,4.930457,0.7110974,357.71646,-0.11618271,0.19831474,-0.0,0.0785934,3.01082766
