,r_Einstein_t_true,gamma1_true,gamma2_true,ex_true,ey_true,r_Einstein_t_pred,gamma1_pred,gamma2_pred,ex_pred,ey_pred,r_Einstein_t_aleatoric,gamma1_aleatoric,gamma2_aleatoric,ex_aleatoric,ey_aleatoric,r_Einstein_t_epistemic,gamma1_epistemic,gamma2_epistemic,ex_epistemic,ey_epistemic,Paths
0,0.89599127,0.42190757,0.407725,0.38482133,0.50679135,0.916155,0.48418197,0.51907635,0.41186816,0.51949424,-4.905715,-3.5417137,-3.572762,-5.7965784,-5.909351,0.05525003,0.0081051905,0.007235924,0.029962998,0.021404985,final_hscsearch_2e3_3/lens_4865_source_989_r_1.fits
1,0.006784928,0.49822438,0.4969695,0.4669429,0.43586364,0.23947307,0.5013193,0.50849235,0.5142433,0.41725704,-3.389514,-3.4286556,-3.504149,-6.0,-6.0,0.052306402,0.003854704,0.0055566393,0.015528551,0.015057113,final_hscsearch_2e3_26/lens_51981_source_1123_r_0.fits
2,0.17761199,0.5121398,0.6391507,0.61212665,0.51479036,0.18600109,0.49958766,0.50328285,0.58606386,0.49895728,-5.9026217,-3.5879095,-3.5563483,-5.941519,-6.0,0.043259725,0.006915159,0.005629058,0.022623783,0.01824093,final_hscsearch_2e3_22/lens_43478_source_1268_r_0.fits
3,0.08587092,0.54340005,0.48055384,0.5054545,0.49903455,0.18135902,0.514431,0.49377796,0.54668707,0.49315354,-6.0,-3.6718223,-3.6200204,-6.0,-6.0,0.06277768,0.004966776,0.0055342047,0.01410755,0.014414799,final_hscsearch_2e3_24/lens_47293_source_50_r_0.fits
4,0.77904516,0.92042804,0.6393566,0.7217077,0.53907925,0.79925084,0.50954425,0.5212604,0.549111,0.59440494,-5.6783733,-3.6247494,-3.6103754,-5.911696,-6.0,0.034577884,0.00578234,0.0066344063,0.017727593,0.019338062,final_hscsearch_2e3_6/lens_10952_source_385_r_0.fits
5,0.23611088,0.39993545,0.26176035,0.498787,0.5191281,0.14256445,0.5024223,0.5050798,0.5037692,0.5440406,-5.6209292,-3.542257,-3.5615711,-6.0,-6.0,0.044213,0.0042382805,0.0044966536,0.011989289,0.012057194,final_hscsearch_2e3_20/lens_39603_source_1599_r_1.fits
6,0.8031297,0.43450782,0.47913712,0.39312568,0.4777221,0.85310537,0.47463688,0.50012255,0.3879388,0.45541835,-4.6548877,-3.4716928,-3.505776,-5.9606423,-6.0,0.046687398,0.004086536,0.0061767744,0.018080326,0.013374592,final_hscsearch_2e3_5/lens_9463_source_2312_r_1.fits
7,0.11391807,0.43753392,0.51862943,0.520403,0.43621406,0.14600083,0.48748016,0.47585762,0.37597048,0.44871667,-5.0692077,-3.5211544,-3.5115104,-5.63289,-5.8385,0.055023212,0.0069830054,0.008235185,0.022207802,0.021188276,final_hscsearch_2e3_24/lens_47538_source_1436_r_0.fits
8,0.7012475,0.30886087,0.57068765,0.48267454,0.4733424,0.7617172,0.49273804,0.5143041,0.47501782,0.3752004,-3.9225152,-3.4256208,-3.474465,-5.7446504,-6.0,0.04923273,0.003910946,0.0071786735,0.01594656,0.020820642,final_hscsearch_2e3_9/lens_16439_source_1775_r_3.fits
9,0.68686354,0.56811094,0.4589837,0.48186186,0.4361264,0.6859116,0.48734778,0.4865628,0.43441513,0.42436397,-6.0,-3.7961733,-3.7587714,-6.0,-6.0,0.024729932,0.0053430526,0.005183261,0.013804543,0.017186468,final_hscsearch_2e3_8/lens_15728_source_7147_r_2.fits
10,0.84894603,0.12483094,0.62690276,0.56687564,0.47400624,0.60854995,0.49819112,0.5090011,0.61559224,0.4012909,-3.0945368,-3.3861897,-3.4582362,-5.8639183,-6.0,0.042354364,0.008834917,0.007647725,0.028132817,0.017836025,final_hscsearch_2e3_5/lens_8367_source_1161_r_2.fits
