,r_Einstein_t_true,gamma1_true,gamma2_true,ex_true,ey_true,r_Einstein_t_pred,gamma1_pred,gamma2_pred,ex_pred,ey_pred,r_Einstein_t_aleatoric,gamma1_aleatoric,gamma2_aleatoric,ex_aleatoric,ey_aleatoric,r_Einstein_t_epistemic,gamma1_epistemic,gamma2_epistemic,ex_epistemic,ey_epistemic,Paths
0,0.89599127,0.42190757,0.407725,0.38482133,0.50679135,0.9215822,0.45481673,0.5080981,0.28061825,0.54936373,-4.9897165,-3.5660758,-3.558593,-5.6198196,-5.7419286,0.053443838,0.009826246,0.007846236,0.03247904,0.015534203,final_hscsearch_2e3_3/lens_4865_source_989_r_1.fits
1,0.006784928,0.49822438,0.4969695,0.4669429,0.43586364,0.28222162,0.49233297,0.49472642,0.43741146,0.42736697,-3.4523706,-3.3136425,-3.4494028,-6.0,-6.0,0.048222024,0.002893172,0.0055314135,0.013078304,0.012345944,final_hscsearch_2e3_26/lens_51981_source_1123_r_0.fits
2,0.17761199,0.5121398,0.6391507,0.61212665,0.51479036,0.26716447,0.52831846,0.49947676,0.6079346,0.54964715,-6.0,-3.546908,-3.5207677,-6.0,-6.0,0.038966533,0.006519642,0.0071580424,0.020867225,0.01779066,final_hscsearch_2e3_22/lens_43478_source_1268_r_0.fits
3,0.08587092,0.54340005,0.48055384,0.5054545,0.49903455,0.10366583,0.5111806,0.48982486,0.5274445,0.5445577,-5.6593075,-3.524996,-3.5395591,-6.0,-6.0,0.047800627,0.003984503,0.008322785,0.013368922,0.013643912,final_hscsearch_2e3_24/lens_47293_source_50_r_0.fits
4,0.77904516,0.92042804,0.6393566,0.7217077,0.53907925,0.77295816,0.50332546,0.51608187,0.53173137,0.5894961,-5.572642,-3.5152187,-3.5294201,-5.899117,-6.0,0.0353387,0.0064825425,0.009756584,0.019693917,0.025438976,final_hscsearch_2e3_6/lens_10952_source_385_r_0.fits
5,0.23611088,0.39993545,0.26176035,0.498787,0.5191281,0.23784712,0.4971285,0.50981146,0.4867139,0.51589966,-5.029279,-3.387298,-3.4579003,-6.0,-6.0,0.028022075,0.0030159575,0.0053065848,0.009378159,0.011288832,final_hscsearch_2e3_20/lens_39603_source_1599_r_1.fits
6,0.8031297,0.43450782,0.47913712,0.39312568,0.4777221,0.8048978,0.49253672,0.51746655,0.40306887,0.48811352,-4.791737,-3.4750936,-3.52875,-5.9606924,-6.0,0.04859151,0.0056721712,0.0073097423,0.017713295,0.01469692,final_hscsearch_2e3_5/lens_9463_source_2312_r_1.fits
7,0.11391807,0.43753392,0.51862943,0.520403,0.43621406,0.043250233,0.4831697,0.48163438,0.38119784,0.38604558,-5.20398,-3.5500622,-3.5562537,-6.0,-6.0,0.046288814,0.0048943204,0.0075573656,0.018345278,0.016120577,final_hscsearch_2e3_24/lens_47538_source_1436_r_0.fits
8,0.7012475,0.30886087,0.57068765,0.48267454,0.4733424,0.7177008,0.49393663,0.50270355,0.43508297,0.44540605,-4.4276805,-3.383716,-3.482542,-6.0,-6.0,0.035843853,0.0045033493,0.00506565,0.016474064,0.015372456,final_hscsearch_2e3_9/lens_16439_source_1775_r_3.fits
9,0.68686354,0.56811094,0.4589837,0.48186186,0.4361264,0.7159325,0.48871082,0.50115883,0.4327695,0.43737864,-5.819168,-3.6561594,-3.7253458,-6.0,-6.0,0.028920798,0.0054381136,0.007155285,0.014822846,0.015195937,final_hscsearch_2e3_8/lens_15728_source_7147_r_2.fits
