,r_Einstein_t_true,gamma1_true,gamma2_true,ex_true,ey_true,r_Einstein_t_pred,gamma1_pred,gamma2_pred,ex_pred,ey_pred,r_Einstein_t_aleatoric,gamma1_aleatoric,gamma2_aleatoric,ex_aleatoric,ey_aleatoric,r_Einstein_t_epistemic,gamma1_epistemic,gamma2_epistemic,ex_epistemic,ey_epistemic,Paths
0,0.89599127,0.42190757,0.407725,0.38482133,0.50679135,0.8995922,0.47045162,0.5049129,0.33154416,0.5383237,-5.3035936,-3.5780396,-3.5876637,-5.891966,-5.9668336,0.0537104,0.009875197,0.007885558,0.032640997,0.015611988,final_hscsearch_2e3_3/lens_4865_source_989_r_1.fits
1,0.006784928,0.49822438,0.4969695,0.4669429,0.43586364,0.26644096,0.49737003,0.5007647,0.46689788,0.43079704,-4.0524244,-3.3191931,-3.419791,-5.9956007,-6.0,0.048464708,0.0029078058,0.005559283,0.01314472,0.012408686,final_hscsearch_2e3_26/lens_51981_source_1123_r_0.fits
2,0.17761199,0.5121398,0.6391507,0.61212665,0.51479036,0.222553,0.52421075,0.50419253,0.5906126,0.5491672,-5.8680162,-3.5414636,-3.5261686,-5.9723854,-5.9927216,0.03916351,0.0065528527,0.007194201,0.020971341,0.017881472,final_hscsearch_2e3_22/lens_43478_source_1268_r_0.fits
3,0.08587092,0.54340005,0.48055384,0.5054545,0.49903455,0.07958934,0.50887847,0.5042653,0.527478,0.52987266,-5.671175,-3.520636,-3.5253522,-5.9995666,-6.0,0.04804117,0.004004224,0.008364533,0.013435356,0.013712123,final_hscsearch_2e3_24/lens_47293_source_50_r_0.fits
4,0.77904516,0.92042804,0.6393566,0.7217077,0.53907925,0.7688184,0.5093198,0.51019424,0.54678315,0.6117604,-5.551756,-3.5335016,-3.555429,-5.8865504,-5.9937706,0.035516985,0.0065152617,0.009805923,0.01979329,0.02556752,final_hscsearch_2e3_6/lens_10952_source_385_r_0.fits
5,0.23611088,0.39993545,0.26176035,0.498787,0.5191281,0.2517618,0.504054,0.5047645,0.51145905,0.5212802,-5.841001,-3.4825287,-3.5150373,-6.0,-6.0,0.028163273,0.0030311402,0.00533334,0.009425326,0.0113456985,final_hscsearch_2e3_20/lens_39603_source_1599_r_1.fits
6,0.8031297,0.43450782,0.47913712,0.39312568,0.4777221,0.88945085,0.48014453,0.5096133,0.39095473,0.47030258,-5.068229,-3.5021577,-3.5353434,-5.9813104,-6.0,0.048836708,0.005700799,0.0073465686,0.017802708,0.014770886,final_hscsearch_2e3_5/lens_9463_source_2312_r_1.fits
7,0.11391807,0.43753392,0.51862943,0.520403,0.43621406,0.120957986,0.48718062,0.4881612,0.4060952,0.4243228,-5.1588225,-3.4642355,-3.4813135,-5.9919887,-5.9995904,0.046522234,0.004918914,0.007595461,0.018437725,0.016201956,final_hscsearch_2e3_24/lens_47538_source_1436_r_0.fits
8,0.7012475,0.30886087,0.57068765,0.48267454,0.4733424,0.7162016,0.4910339,0.50635874,0.44646114,0.46796867,-4.496585,-3.3631487,-3.4522338,-5.969157,-5.999173,0.03602308,0.00452597,0.0050910786,0.016556697,0.015449739,final_hscsearch_2e3_9/lens_16439_source_1775_r_3.fits
9,0.68686354,0.56811094,0.4589837,0.48186186,0.4361264,0.6965805,0.4885992,0.48718545,0.43830386,0.4234501,-5.841427,-3.60557,-3.657229,-6.0,-6.0,0.029066706,0.005465589,0.0071914117,0.0148977265,0.015272693,final_hscsearch_2e3_8/lens_15728_source_7147_r_2.fits
10,0.84894603,0.12483094,0.62690276,0.56687564,0.47400624,0.82405055,0.5028728,0.5094518,0.5623518,0.43474412,-4.5132537,-3.3967867,-3.4518833,-5.9525905,-5.997593,0.045149058,0.0055030496,0.007404446,0.01961002,0.016892679,final_hscsearch_2e3_5/lens_8367_source_1161_r_2.fits
11,0.6308951,0.49948815,0.5183139,0.43980277,0.45370495,0.6477244,0.48984516,0.4901411,0.46909812,0.46666187,-5.9552875,-3.6833634,-3.7271426,-6.0,-6.0,0.023694804,0.0046939114,0.0052568233,0.010852018,0.010447727,final_hscsearch_2e3_10/lens_19202_source_1817_r_2.fits
12,0.7194796,0.36179656,0.82970977,0.5541077,0.4374862,0.7230999,0.5065575,0.4837215,0.5143082,0.39797062,-5.569371,-3.542842,-3.587504,-5.9901915,-6.0,0.032677878,0.005282191,0.007027879,0.014640149,0.019910693,final_hscsearch_2e3_8/lens_14563_source_1090_r_1.fits
13,0.96271056,0.49058372,0.5107268,0.5079092,0.51450956,0.9347466,0.49337566,0.5026004,0.44924942,0.46456447,-5.6167736,-3.6050286,-3.6129935,-5.9911523,-6.0,0.05012443,0.005652063,0.0074456492,0.019244378,0.017650966,final_hscsearch_2e3_1/lens_1608_source_64_r_1.fits
14,0.8032846,0.5209887,0.4159012,0.45870933,0.5240241,0.83962214,0.497528,0.50770164,0.47730273,0.5178933,-5.910758,-3.7147315,-3.7568727,-6.0,-6.0,0.034996346,0.0050008628,0.0067689386,0.013806636,0.013121368,final_hscsearch_2e3_5/lens_9383_source_1268_r_1.fits
15,0.93392277,0.6484253,0.7288386,0.27630046,0.4245092,0.8105265,0.48578545,0.5003009,0.45145348,0.4541187,-4.110342,-3.4131086,-3.3933256,-4.7613335,-5.044832,0.06375585,0.00798435,0.010720278,0.031193811,0.03158417,final_hscsearch_2e3_2/lens_3907_source_1048_r_1.fits
16,0.5268611,0.4705853,0.5428763,0.44260395,0.5569326,0.53506666,0.4788719,0.51115584,0.43344933,0.54111576,-5.9665346,-3.5769753,-3.6140335,-6.0,-6.0,0.015217657,0.006279512,0.004583181,0.014237717,0.010911248,final_hscsearch_2e3_13/lens_24727_source_1036_r_3.fits
